epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1302.28,0.47129,0.9079,0.87526,0.94073,0.98744,0.995,0.90632,0.43253,0.67963,0.69507,0.000717875,0.000717875,0.000717875
45,1331.8,0.48001,0.93478,0.86207,0.93889,0.9871,0.98111,0.89387,0.46742,0.67464,0.69468,0.0007055,0.0007055,0.0007055
46,1361.68,0.52021,0.96587,0.88809,0.94234,0.9854,0.995,0.8903,0.43677,0.64683,0.69334,0.000693125,0.000693125,0.000693125
47,1390.53,0.5226,0.88592,0.88074,0.94431,0.97449,0.995,0.86782,0.4672,0.65921,0.70447,0.00068075,0.00068075,0.00068075
48,1416.98,0.46922,0.9189,0.86145,0.92399,0.96875,0.985,0.87576,0.47551,0.74536,0.70722,0.000668375,0.000668375,0.000668375
49,1443.54,0.50147,0.89039,0.86486,0.90748,0.96875,0.97935,0.88571,0.44603,0.74037,0.69872,0.000656,0.000656,0.000656
50,1471.18,0.52186,0.86115,0.88825,0.96203,0.98088,0.995,0.89865,0.45464,0.63699,0.69734,0.000643625,0.000643625,0.000643625
51,1499.74,0.46246,0.83647,0.87065,0.94246,0.98102,0.995,0.89918,0.45018,0.63045,0.69545,0.00063125,0.00063125,0.00063125
52,1529.39,0.47103,0.90282,0.88858,0.93284,0.96875,0.9486,0.86055,0.44122,0.69585,0.69934,0.000618875,0.000618875,0.000618875
53,1559.95,0.4912,0.88011,0.8822,0.93667,0.96875,0.96546,0.89863,0.42594,0.67256,0.68974,0.0006065,0.0006065,0.0006065
54,1586.18,0.49819,0.82476,0.8955,0.94196,0.97291,0.995,0.91032,0.42696,0.62344,0.69047,0.000594125,0.000594125,0.000594125
55,1613.03,0.4832,0.90296,0.87653,0.98354,0.97738,0.995,0.90572,0.42652,0.58534,0.69024,0.00058175,0.00058175,0.00058175
56,1639.5,0.49356,0.7987,0.88306,0.96121,0.97205,0.995,0.90471,0.41448,0.6017,0.687,0.000569375,0.000569375,0.000569375
57,1665.83,0.49076,0.83271,0.88188,0.93088,0.97112,0.98111,0.88569,0.41103,0.67825,0.68601,0.000557,0.000557,0.000557
58,1692.11,0.49974,0.89038,0.87155,0.90464,0.97377,0.94667,0.86446,0.41188,0.78999,0.68495,0.000544625,0.000544625,0.000544625
59,1720.61,0.5005,0.81407,0.88922,0.88971,0.94712,0.93639,0.8393,0.43712,1.01372,0.68614,0.00053225,0.00053225,0.00053225
60,1749.06,0.45667,0.73222,0.86318,0.91092,0.97289,0.97444,0.87543,0.48124,0.86851,0.70373,0.000519875,0.000519875,0.000519875
61,1777.31,0.44077,0.78813,0.86513,0.9443,0.97713,0.995,0.88256,0.48852,0.66337,0.7117,0.0005075,0.0005075,0.0005075
62,1805.62,0.48539,0.86425,0.85415,0.98059,1,0.995,0.87848,0.46197,0.60964,0.70508,0.000495125,0.000495125,0.000495125
63,1836.86,0.43927,0.79871,0.86591,0.92422,1,0.995,0.88912,0.47666,0.70574,0.70304,0.00048275,0.00048275,0.00048275
64,1866.39,0.50916,0.80364,0.87898,0.9054,0.99582,0.995,0.89193,0.45104,0.75421,0.69361,0.000470375,0.000470375,0.000470375
65,1892.91,0.48583,0.76988,0.88509,0.92901,0.97296,0.995,0.90562,0.41994,0.62974,0.68507,0.000458,0.000458,0.000458
66,1919.87,0.47372,0.80434,0.86752,0.95971,0.97394,0.995,0.89455,0.42752,0.57013,0.68995,0.000445625,0.000445625,0.000445625
67,1946.09,0.45113,0.74549,0.8551,0.94979,0.96446,0.995,0.89147,0.43626,0.595,0.69185,0.00043325,0.00043325,0.00043325
68,1972.44,0.4791,0.76831,0.87604,0.94264,0.97495,0.995,0.88583,0.44426,0.57076,0.69214,0.000420875,0.000420875,0.000420875
69,2000.98,0.4346,0.735,0.85651,0.94054,0.97784,0.98833,0.88603,0.44916,0.57447,0.69356,0.0004085,0.0004085,0.0004085
70,2029.06,0.45468,0.82473,0.8623,0.94144,0.96965,0.995,0.89681,0.44609,0.5968,0.69196,0.000396125,0.000396125,0.000396125
71,2056.63,0.42115,0.72954,0.8606,0.90244,0.95472,0.995,0.90126,0.43381,0.84254,0.68791,0.00038375,0.00038375,0.00038375
72,2082.94,0.44219,0.77544,0.85644,0.93058,0.81748,0.94667,0.84662,0.43042,1.1487,0.68802,0.000371375,0.000371375,0.000371375
73,2109.64,0.46744,0.79522,0.86095,0.90347,0.96938,0.93972,0.84858,0.42665,0.74317,0.68761,0.000359,0.000359,0.000359
74,2136.17,0.46302,0.69999,0.86381,0.94044,0.9715,0.995,0.90067,0.43107,0.60521,0.68938,0.000346625,0.000346625,0.000346625
75,2163.26,0.44983,0.63935,0.85498,0.98607,1,0.995,0.89017,0.43095,0.54555,0.69389,0.00033425,0.00033425,0.00033425
76,2190.23,0.46318,0.73735,0.87509,0.92672,1,0.995,0.88136,0.43839,0.59211,0.69342,0.000321875,0.000321875,0.000321875
77,2217.45,0.4271,0.77163,0.86394,0.8953,0.98406,0.99147,0.88075,0.43822,0.73168,0.69114,0.0003095,0.0003095,0.0003095
78,2244.1,0.44974,0.81391,0.85453,0.95923,0.9853,0.99147,0.88696,0.43972,0.71216,0.69276,0.000297125,0.000297125,0.000297125
79,2271.01,0.42354,0.7004,0.85927,0.94877,1,0.995,0.89465,0.42966,0.61506,0.69184,0.00028475,0.00028475,0.00028475
80,2297.91,0.46686,0.76823,0.86313,0.99322,0.99391,0.995,0.89427,0.42545,0.49016,0.68689,0.000272375,0.000272375,0.000272375
81,2325.73,0.43078,0.68366,0.88322,0.98834,0.98343,0.995,0.89251,0.41885,0.48679,0.6849,0.00026,0.00026,0.00026
82,2353.91,0.43707,0.67013,0.85848,0.94864,0.97744,0.995,0.89213,0.41508,0.50462,0.68612,0.000247625,0.000247625,0.000247625
83,2383.06,0.41688,0.67887,0.85735,0.94116,0.97172,0.995,0.90111,0.41798,0.53959,0.69121,0.00023525,0.00023525,0.00023525
84,2412.35,0.45335,0.65971,0.8742,0.90425,0.98634,0.98833,0.892,0.43575,0.61078,0.69879,0.000222875,0.000222875,0.000222875
85,2440.08,0.4222,0.7142,0.84987,0.90657,0.99266,0.98833,0.8984,0.43399,0.59659,0.69532,0.0002105,0.0002105,0.0002105
86,2469.48,0.45019,0.72237,0.87944,0.91007,0.99162,0.98111,0.88704,0.43224,0.61608,0.69437,0.000198125,0.000198125,0.000198125
87,2499.91,0.42463,0.63246,0.85766,0.93266,0.99134,0.98111,0.88009,0.42833,0.60829,0.69161,0.00018575,0.00018575,0.00018575
88,2529.68,0.47144,0.66505,0.86942,0.9391,0.99034,0.98111,0.87251,0.42724,0.56624,0.68713,0.000173375,0.000173375,0.000173375
89,2559.91,0.40431,0.61091,0.84825,0.94006,0.98464,0.98111,0.89506,0.42047,0.52881,0.68453,0.000161,0.000161,0.000161
90,2591.04,0.44256,0.67288,0.87825,0.93943,0.97491,0.97444,0.88207,0.41353,0.60025,0.68289,0.000148625,0.000148625,0.000148625
91,2622.86,0.38909,0.69767,0.82895,0.91394,0.95965,0.97268,0.87719,0.41469,0.78379,0.68354,0.00013625,0.00013625,0.00013625
92,2654.33,0.40039,0.69258,0.81737,0.91777,0.95716,0.96971,0.87501,0.41505,0.85068,0.68512,0.000123875,0.000123875,0.000123875
93,2685.32,0.38788,0.65913,0.82998,0.9373,0.95358,0.96971,0.8839,0.41426,0.75787,0.68739,0.0001115,0.0001115,0.0001115
94,2715.17,0.37767,0.66307,0.79217,0.93883,0.95647,0.96971,0.88496,0.41348,0.68394,0.6876,9.9125e-05,9.9125e-05,9.9125e-05
95,2742.64,0.38526,0.66926,0.82229,0.93579,0.96875,0.96971,0.88553,0.4119,0.59223,0.68697,8.675e-05,8.675e-05,8.675e-05
96,2770.85,0.38266,0.66308,0.80729,0.92987,0.96875,0.96844,0.88478,0.41256,0.55221,0.68507,7.4375e-05,7.4375e-05,7.4375e-05
97,2800.92,0.37571,0.65664,0.81591,0.92872,0.96875,0.96844,0.88825,0.41174,0.53848,0.68365,6.2e-05,6.2e-05,6.2e-05
98,2830.32,0.38097,0.64391,0.82121,0.92768,0.96875,0.96971,0.88627,0.41059,0.52944,0.68333,4.9625e-05,4.9625e-05,4.9625e-05
99,2860,0.37905,0.61936,0.80748,0.92848,0.96875,0.96844,0.88725,0.41044,0.53178,0.68362,3.725e-05,3.725e-05,3.725e-05
100,2888.68,0.3792,0.63324,0.81224,0.92774,0.96875,0.96844,0.88153,0.41097,0.53387,0.68426,2.4875e-05,2.4875e-05,2.4875e-05
