epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6355,0.69076,2.93043,1.03537,0.00737,1,0.66157,0.61931,0.39391,3.18803,0.68204,0.0002375,0.0002375,0.0002375
2,76.6652,0.65309,1.81634,1.02105,0.00635,1,0.55278,0.49361,0.46454,3.01776,0.69708,0.000482674,0.000482674,0.000482674
3,115.328,0.62913,1.78209,0.9466,0.48569,1,0.56745,0.46599,0.66867,1.88619,0.77447,0.000722897,0.000722897,0.000722897
4,152.916,0.62051,1.65144,0.95963,0.48886,1,0.66791,0.62108,0.43537,1.88026,0.69214,0.000958171,0.000958171,0.000958171
5,190.608,0.61473,1.58616,0.91831,0.49183,1,0.78176,0.70115,0.50728,1.67882,0.70992,0.00118849,0.00118849,0.00118849
6,227.751,0.61863,1.57097,0.93629,0.49015,1,0.72308,0.64877,0.47146,1.53,0.69651,0.00118812,0.00118812,0.00118812
7,263.757,0.5998,1.57588,0.95145,0.82391,0.93657,0.97914,0.85955,0.50936,1.50627,0.72585,0.00117575,0.00117575,0.00117575
8,305.1,0.63276,1.3336,0.95575,0.82039,0.88451,0.98633,0.88347,0.46911,2.50287,0.6989,0.00116337,0.00116337,0.00116337
9,342.467,0.58341,1.2722,0.93262,0.70437,0.68474,0.995,0.85069,0.59623,2.52406,0.7745,0.001151,0.001151,0.001151
10,382.931,0.62346,1.29847,0.9393,0.83243,0.5,0.52952,0.3159,0.87847,3.05774,0.96688,0.00113863,0.00113863,0.00113863
11,420.259,0.57601,1.29115,0.92234,0.95784,0.98806,0.995,0.89137,0.45621,1.11689,0.6898,0.00112625,0.00112625,0.00112625
12,457.415,0.58426,1.19028,0.91675,0.98313,1,0.995,0.86013,0.469,0.99017,0.70646,0.00111388,0.00111388,0.00111388
13,494.937,0.56093,1.18584,0.91232,0.72625,0.74687,0.96769,0.82696,0.56783,1.57129,0.72457,0.0011015,0.0011015,0.0011015
14,532.252,0.53044,1.13653,0.90148,0.987,0.97366,0.995,0.85841,0.56849,0.84564,0.73629,0.00108913,0.00108913,0.00108913
15,568.619,0.55569,1.07985,0.90423,0.93238,0.97092,0.995,0.90302,0.48664,0.89026,0.70769,0.00107675,0.00107675,0.00107675
16,607.338,0.54934,1.04851,0.9026,0.93888,0.97083,0.98833,0.87277,0.44338,0.83598,0.69237,0.00106437,0.00106437,0.00106437
17,643.628,0.55855,1.02491,0.89625,0.9375,0.97178,0.995,0.89241,0.4864,0.89144,0.72612,0.001052,0.001052,0.001052
18,678.73,0.59373,1.05941,0.92041,0.98495,0.97452,0.995,0.87001,0.45717,0.89583,0.69736,0.00103962,0.00103962,0.00103962
19,713.993,0.57455,0.99263,0.91728,0.9463,0.97223,0.995,0.87933,0.50697,0.71859,0.70688,0.00102725,0.00102725,0.00102725
20,749.662,0.56039,1.03295,0.90667,0.83853,0.96908,0.995,0.89828,0.47388,0.88137,0.69068,0.00101488,0.00101488,0.00101488
21,786.885,0.53306,0.87627,0.89038,0.84079,1,0.995,0.87933,0.46021,0.82441,0.69755,0.0010025,0.0010025,0.0010025
22,824.245,0.51965,0.93621,0.91727,0.99521,1,0.995,0.88887,0.53056,0.71469,0.71176,0.000990125,0.000990125,0.000990125
23,860.115,0.54475,0.99911,0.89033,0.91422,0.98812,0.995,0.87865,0.46035,0.75583,0.69857,0.00097775,0.00097775,0.00097775
24,896.258,0.55577,0.88019,0.90034,0.99054,1,0.995,0.88993,0.43393,0.61085,0.69033,0.000965375,0.000965375,0.000965375
25,934.092,0.51878,0.88907,0.89557,0.89212,0.9488,0.995,0.89924,0.43086,0.74006,0.68805,0.000953,0.000953,0.000953
26,972.238,0.55663,0.86924,0.91291,0.90463,0.96875,0.94515,0.8495,0.46709,0.84105,0.69694,0.000940625,0.000940625,0.000940625
27,1011.29,0.52997,0.90155,0.89467,0.78262,1,0.97935,0.86263,0.44981,0.74131,0.69007,0.00092825,0.00092825,0.00092825
