epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2778,0.69563,3.31167,0.94612,0.00864,1,0.54878,0.48899,0.45301,3.34055,0.68645,0.0001375,0.0001375,0.0001375
2,47.1211,0.53633,2.25316,0.92443,0.0073,1,0.65507,0.58792,0.4108,3.05674,0.68608,0.000284654,0.000284654,0.000284654
3,70.5245,0.6369,2.06344,0.94182,0.00722,1,0.65667,0.57778,0.55034,2.8326,0.72762,0.000428838,0.000428838,0.000428838
4,94.8571,0.64529,1.92176,0.94716,0.00742,1,0.83415,0.70789,0.66207,2.55989,0.77772,0.000570051,0.000570051,0.000570051
5,118.606,0.59675,1.96735,0.90476,0.00736,1,0.78911,0.70968,0.54064,2.49951,0.70714,0.000708295,0.000708295,0.000708295
6,141.683,0.65489,2.03115,0.93563,0.49205,0.96387,0.6257,0.53656,0.60767,2.33433,0.75789,0.000843569,0.000843569,0.000843569
7,164.969,0.61616,1.85574,0.89688,0.48637,1,0.62995,0.57354,0.4737,1.97538,0.70393,0.000975872,0.000975872,0.000975872
8,188.066,0.60209,1.88365,0.89702,0.48871,1,0.66333,0.59139,0.47586,1.80142,0.70924,0.00110521,0.00110521,0.00110521
9,211.258,0.59423,1.74674,0.89147,0.48749,1,0.86601,0.77732,0.58781,1.79048,0.77386,0.001151,0.001151,0.001151
10,234.267,0.62699,2.06067,0.91993,0.49377,1,0.97051,0.86977,0.54863,1.81937,0.75463,0.00113863,0.00113863,0.00113863
11,257.559,0.60296,1.78128,0.88435,0.85842,0.97036,0.99324,0.85055,0.5367,1.56748,0.7427,0.00112625,0.00112625,0.00112625
12,278.703,0.5882,1.60534,0.90568,0.51871,1,0.80917,0.6925,0.50919,1.76088,0.71801,0.00111388,0.00111388,0.00111388
13,300.282,0.60952,1.73319,0.88733,0.60946,0.96875,0.94703,0.68006,0.62366,2.90905,0.767,0.0011015,0.0011015,0.0011015
14,327.888,0.63825,1.65308,0.92709,0.51454,0.96875,0.94911,0.67794,0.74767,3.95904,0.79841,0.00108913,0.00108913,0.00108913
15,349.461,0.56992,1.49375,0.87743,0.98205,1,0.995,0.87105,0.46363,1.05031,0.70141,0.00107675,0.00107675,0.00107675
16,371.782,0.56731,1.48015,0.87086,0.9885,1,0.995,0.85786,0.52882,1.06777,0.69977,0.00106437,0.00106437,0.00106437
17,394.213,0.55551,1.51468,0.87787,0.68775,0.97134,0.995,0.89909,0.46222,1.95357,0.70278,0.001052,0.001052,0.001052
18,418.766,0.56755,1.42841,0.8717,0.93202,0.97162,0.995,0.88391,0.45875,1.24605,0.70845,0.00103962,0.00103962,0.00103962
19,441.409,0.55287,1.5328,0.88796,0.81739,1,0.995,0.89436,0.48611,1.10898,0.70645,0.00102725,0.00102725,0.00102725
20,464.306,0.55028,1.36162,0.87885,0.97968,1,0.995,0.89549,0.48503,1.03065,0.70733,0.00101488,0.00101488,0.00101488
21,487.702,0.52853,1.39405,0.89284,0.93963,0.97954,0.96722,0.88006,0.45338,1.03737,0.7029,0.0010025,0.0010025,0.0010025
22,510.969,0.56931,1.39558,0.87909,0.97007,1,0.995,0.8874,0.46489,0.93843,0.70291,0.000990125,0.000990125,0.000990125
23,533.327,0.51446,1.35559,0.86957,0.9182,0.96774,0.95271,0.87797,0.43044,0.99933,0.69206,0.00097775,0.00097775,0.00097775
24,555.916,0.54043,1.29583,0.88379,0.9393,0.96875,0.94067,0.85267,0.44457,0.91041,0.69249,0.000965375,0.000965375,0.000965375
25,578.242,0.53978,1.36303,0.85645,0.93992,0.97083,0.995,0.89769,0.4792,0.88793,0.70293,0.000953,0.000953,0.000953
26,600.522,0.55434,1.39595,0.89598,0.9197,0.9707,0.93972,0.83624,0.45088,1.01408,0.69538,0.000940625,0.000940625,0.000940625
27,623.002,0.52964,1.30908,0.8608,0.90688,0.9567,0.96056,0.85635,0.44955,1.0885,0.69545,0.00092825,0.00092825,0.00092825
28,644.958,0.57637,1.27114,0.89856,0.94336,0.97116,0.995,0.90662,0.4491,0.99307,0.69768,0.000915875,0.000915875,0.000915875
29,666.415,0.49755,1.18168,0.87053,0.98539,0.95046,0.995,0.85619,0.50259,1.02673,0.7207,0.0009035,0.0009035,0.0009035
30,687.464,0.54353,1.1776,0.8757,0.91849,0.95726,0.995,0.85754,0.50276,1.0719,0.71961,0.000891125,0.000891125,0.000891125
31,711.767,0.54734,1.21653,0.88879,0.97297,0.96937,0.995,0.89161,0.46998,0.92679,0.7055,0.00087875,0.00087875,0.00087875
32,734.17,0.54563,1.21761,0.87128,0.95836,0.96875,0.99324,0.89247,0.46017,0.93513,0.7,0.000866375,0.000866375,0.000866375
33,756.56,0.53238,1.15448,0.86411,0.93926,0.96875,0.97833,0.86478,0.44189,0.95357,0.69966,0.000854,0.000854,0.000854
34,778.852,0.52901,1.15462,0.87662,0.96357,0.97184,0.995,0.88283,0.4383,0.90416,0.69644,0.000841625,0.000841625,0.000841625
35,801.485,0.54898,1.25726,0.88244,0.89755,0.9443,0.93796,0.83361,0.44603,0.99732,0.69554,0.00082925,0.00082925,0.00082925
36,824.431,0.58356,1.18407,0.88241,0.94196,0.97632,0.995,0.88172,0.44451,0.87464,0.6946,0.000816875,0.000816875,0.000816875
37,847.271,0.49679,1.14275,0.86512,0.98194,0.98179,0.995,0.92144,0.41628,0.83741,0.68742,0.0008045,0.0008045,0.0008045
38,869.999,0.52337,1.14116,0.86348,0.93165,0.94031,0.995,0.90725,0.4269,0.91626,0.69084,0.000792125,0.000792125,0.000792125
39,897.498,0.51185,1.11227,0.86143,0.93326,0.94491,0.94667,0.849,0.45101,0.90387,0.69197,0.00077975,0.00077975,0.00077975
40,924.405,0.52965,1.08919,0.85027,0.94089,0.98164,0.995,0.89597,0.45905,0.80891,0.69399,0.000767375,0.000767375,0.000767375
41,950.889,0.51904,1.17907,0.8636,0.97594,1,0.995,0.90948,0.44322,0.78838,0.69199,0.000755,0.000755,0.000755
42,975.134,0.48542,1.2393,0.85248,0.94156,0.98115,0.995,0.90087,0.45786,0.80649,0.69371,0.000742625,0.000742625,0.000742625
43,997.883,0.50088,1.06249,0.87352,0.90578,0.84607,0.96722,0.8587,0.49397,0.99878,0.70173,0.00073025,0.00073025,0.00073025
44,1021.8,0.52314,1.06897,0.88462,0.90845,0.97286,0.95333,0.844,0.47772,0.89761,0.70063,0.000717875,0.000717875,0.000717875
45,1045.89,0.51508,1.14939,0.86845,0.94161,0.97398,0.995,0.89823,0.44581,0.80322,0.6977,0.0007055,0.0007055,0.0007055
46,1070.46,0.50551,1.07417,0.87368,0.94261,0.97476,0.995,0.88699,0.47342,0.78226,0.70297,0.000693125,0.000693125,0.000693125
47,1094.99,0.53062,0.99282,0.87438,0.98437,0.97503,0.995,0.90425,0.50147,0.76962,0.71056,0.00068075,0.00068075,0.00068075
48,1119.26,0.49293,1.05074,0.86555,0.97907,0.98965,0.995,0.89794,0.49485,0.79199,0.71289,0.000668375,0.000668375,0.000668375
49,1144.02,0.4757,0.96757,0.85519,0.94331,0.97681,0.995,0.9041,0.44845,0.73399,0.69894,0.000656,0.000656,0.000656
50,1168.13,0.48161,1.00625,0.85061,0.93424,0.96875,0.93639,0.84518,0.41934,0.75292,0.69358,0.000643625,0.000643625,0.000643625
51,1192.03,0.51817,0.98596,0.865,0.93663,0.96875,0.93796,0.84104,0.45585,0.7588,0.69722,0.00063125,0.00063125,0.00063125
52,1216.96,0.50254,1.04919,0.86724,0.9334,0.96875,0.96546,0.86866,0.44571,0.74439,0.69534,0.000618875,0.000618875,0.000618875
53,1241.43,0.525,1.13801,0.88758,0.93039,0.96875,0.96546,0.86409,0.46493,0.73602,0.69778,0.0006065,0.0006065,0.0006065
54,1265.58,0.49951,1.00927,0.86067,0.93089,0.96875,0.96546,0.85819,0.47128,0.72949,0.69889,0.000594125,0.000594125,0.000594125
55,1290.36,0.48369,1.00789,0.87397,0.93275,0.96875,0.9449,0.84662,0.4156,0.72107,0.68737,0.00058175,0.00058175,0.00058175
56,1314.38,0.48768,1.0042,0.85887,0.93322,0.96875,0.93796,0.84791,0.42095,0.71385,0.6857,0.000569375,0.000569375,0.000569375
57,1336.72,0.48831,1.00101,0.86529,0.93944,0.9754,0.95333,0.86575,0.41384,0.77065,0.68481,0.000557,0.000557,0.000557
58,1359.02,0.47741,0.91871,0.86042,0.93937,0.97355,0.96056,0.86199,0.42138,0.77617,0.68549,0.000544625,0.000544625,0.000544625
59,1380.8,0.50291,1.08355,0.88599,0.925,0.96605,0.98111,0.88,0.43495,0.77846,0.68766,0.00053225,0.00053225,0.00053225
60,1402.66,0.46666,1.00591,0.85085,0.93638,0.96979,0.98833,0.88993,0.44641,0.7458,0.68941,0.000519875,0.000519875,0.000519875
61,1424.16,0.48491,0.94487,0.87191,0.94052,0.97928,0.995,0.91233,0.42743,0.68449,0.6861,0.0005075,0.0005075,0.0005075
62,1446.22,0.46111,0.97768,0.84935,0.94062,0.98097,0.995,0.9095,0.41788,0.67975,0.6839,0.000495125,0.000495125,0.000495125
63,1469.87,0.50481,1.01898,0.85871,0.93986,0.98091,0.97444,0.86761,0.4446,0.67678,0.69217,0.00048275,0.00048275,0.00048275
64,1493.18,0.46751,0.99205,0.83941,0.94007,0.98073,0.96722,0.86952,0.44719,0.66339,0.69444,0.000470375,0.000470375,0.000470375
65,1516.64,0.46024,0.9691,0.85825,0.94011,0.98112,0.93972,0.84689,0.4354,0.66178,0.68921,0.000458,0.000458,0.000458
