epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0553,0.65676,2.98733,0.99422,0.00587,1,0.59186,0.54186,0.38081,3.23375,0.68005,0.0002125,0.0002125,0.0002125
2,68.2747,0.5874,2.06378,0.97543,0.00583,1,0.56185,0.51117,0.48685,2.86834,0.70215,0.000433169,0.000433169,0.000433169
3,102.242,0.63967,1.8127,0.9425,0.00668,1,0.6558,0.59134,0.50127,2.64608,0.70206,0.000649382,0.000649382,0.000649382
4,136.923,0.65567,1.77574,0.96467,0.49642,1,0.63851,0.5684,0.47647,2.03599,0.7147,0.000861141,0.000861141,0.000861141
5,170.897,0.62895,1.63908,0.94224,0.48332,0.625,0.71845,0.65378,0.4677,2.27987,0.71073,0.00106844,0.00106844,0.00106844
6,205.307,0.64318,1.62221,0.93332,0.48414,1,0.71191,0.62222,0.50606,1.83395,0.72072,0.00118812,0.00118812,0.00118812
7,240.605,0.6428,1.48656,0.91833,0.48649,1,0.88401,0.75672,0.57235,1.76473,0.72022,0.00117575,0.00117575,0.00117575
8,275.916,0.62011,1.50229,0.92822,0.81131,1,0.99324,0.86934,0.54738,1.50313,0.71591,0.00116337,0.00116337,0.00116337
9,313.6,0.60566,1.46358,0.9218,0.83229,0.5,0.69271,0.60814,0.58529,1.94894,0.72478,0.001151,0.001151,0.001151
10,468.163,0.58834,1.50442,0.89611,0.66601,0.99766,0.68375,0.62669,0.48859,2.20547,0.71218,0.00113863,0.00113863,0.00113863
11,505.832,0.57604,1.37728,0.90806,0.83064,0.99168,0.995,0.87733,0.52057,1.21946,0.73713,0.00112625,0.00112625,0.00112625
12,541.511,0.54399,1.39164,0.89603,0.81749,0.98166,0.995,0.87076,0.46773,1.31425,0.71529,0.00111388,0.00111388,0.00111388
13,579.435,0.58499,1.30146,0.9072,0.991,1,0.995,0.85615,0.56876,1.10244,0.72782,0.0011015,0.0011015,0.0011015
14,614.432,0.56557,1.11151,0.88403,0.93454,0.96875,0.98657,0.89428,0.43461,0.84041,0.69373,0.00108913,0.00108913,0.00108913
15,648.816,0.57108,1.25504,0.88166,0.93149,0.96875,0.98657,0.87554,0.49161,0.86739,0.70172,0.00107675,0.00107675,0.00107675
16,683.126,0.57879,1.24727,0.90779,0.92371,0.96875,0.98657,0.86639,0.49604,0.86633,0.71749,0.00106437,0.00106437,0.00106437
17,717.439,0.58372,1.21907,0.91444,0.93337,0.96875,0.98657,0.88901,0.43027,0.87096,0.7049,0.001052,0.001052,0.001052
18,752.065,0.55486,1.18672,0.89157,0.9349,0.96875,0.98657,0.85569,0.52716,0.87921,0.71594,0.00103962,0.00103962,0.00103962
