epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2356.68,0.90856,1.08625,1.12162,0.64871,0.90873,0.86971,0.71446,0.70273,0.94934,0.88011,0.00079705,0.00079705,0.00079705
43,2411.99,0.80792,0.93558,1.0766,0.65151,0.90873,0.86332,0.74571,0.63606,0.92096,0.85731,0.0007921,0.0007921,0.0007921
44,2473.05,0.85604,1.08013,1.07659,0.66405,0.92166,0.85632,0.65312,0.86582,0.91894,0.93302,0.00078715,0.00078715,0.00078715
45,2533.61,0.86164,1.05207,1.08729,0.66347,0.92211,0.86253,0.66749,0.85243,0.93971,0.95064,0.0007822,0.0007822,0.0007822
46,2590.72,0.83313,0.99456,1.05434,0.64387,0.90873,0.76382,0.609,0.78199,0.94653,0.93342,0.00077725,0.00077725,0.00077725
47,2646,0.84055,0.99607,1.06641,0.64215,0.90873,0.8955,0.68349,0.96569,0.96282,0.98666,0.0007723,0.0007723,0.0007723
48,2702.22,0.85943,1.03069,1.05573,0.63839,0.90873,0.89559,0.73206,0.72342,0.94299,0.90312,0.00076735,0.00076735,0.00076735
49,2758.74,0.8349,1.0083,1.07684,0.63617,0.90873,0.87938,0.70553,0.7602,0.95033,0.91398,0.0007624,0.0007624,0.0007624
50,2815.24,0.79532,0.9146,1.04331,0.62413,0.90873,0.82904,0.6591,0.83558,0.9381,0.91867,0.00075745,0.00075745,0.00075745
51,2872.5,0.84417,0.96033,1.08441,0.63836,0.90873,0.82092,0.6939,0.6933,0.91888,0.86899,0.0007525,0.0007525,0.0007525
52,2928.7,0.85717,0.96097,1.11095,0.6404,0.90873,0.83294,0.6728,0.73304,0.92695,0.89935,0.00074755,0.00074755,0.00074755
53,2985.12,0.76472,0.95928,1.02838,0.6584,0.92456,0.84848,0.69105,0.71223,0.92263,0.87647,0.0007426,0.0007426,0.0007426
54,3042.64,0.80681,0.9754,1.05554,0.65825,0.92473,0.85978,0.71484,0.69826,0.91565,0.87519,0.00073765,0.00073765,0.00073765
55,3100.09,0.82358,0.92915,1.06466,0.65833,0.92503,0.85687,0.71882,0.67669,0.91361,0.88014,0.0007327,0.0007327,0.0007327
56,3157.17,0.86295,0.89498,1.10967,0.65738,0.92559,0.83922,0.68479,0.75913,0.92704,0.90624,0.00072775,0.00072775,0.00072775
57,3214.42,0.8228,0.95999,1.09193,0.65704,0.92516,0.84708,0.63737,0.99729,0.97889,0.99881,0.0007228,0.0007228,0.0007228
58,3271.52,0.8781,0.97143,1.08821,0.64091,0.90873,0.87369,0.68419,0.91743,0.96152,0.97263,0.00071785,0.00071785,0.00071785
59,3327.1,0.88066,0.94788,1.08614,0.64487,0.90873,0.85966,0.72235,0.75118,0.92347,0.8952,0.0007129,0.0007129,0.0007129
60,3386.14,0.79319,0.96353,1.04783,0.65032,0.90873,0.88356,0.6584,1.11374,0.90978,1.04067,0.00070795,0.00070795,0.00070795
61,3449.55,0.86753,0.95048,1.0748,0.66474,0.92159,0.89323,0.67961,0.99641,0.92168,0.99312,0.000703,0.000703,0.000703
62,3505.24,0.79552,0.88401,1.05705,0.64714,0.90873,0.88975,0.75826,0.63611,0.90231,0.8602,0.00069805,0.00069805,0.00069805
63,3561.81,0.81404,0.91125,1.04552,0.64254,0.90873,0.87843,0.72812,0.72705,0.94397,0.8897,0.0006931,0.0006931,0.0006931
64,3619.71,0.80673,0.863,1.0378,0.64079,0.90873,0.88855,0.73739,0.78284,0.91615,0.91106,0.00068815,0.00068815,0.00068815
65,3676.15,0.76179,0.89184,1.02716,0.63847,0.90873,0.8975,0.77032,0.65571,0.92528,0.86656,0.0006832,0.0006832,0.0006832
66,3736.03,0.83896,0.95571,1.09454,0.6373,0.90873,0.88737,0.74871,0.70174,0.93522,0.8735,0.00067825,0.00067825,0.00067825
67,3790.52,0.81871,0.937,1.06052,0.63896,0.90873,0.89861,0.70544,0.90257,0.94265,0.96316,0.0006733,0.0006733,0.0006733
68,3845.86,0.79779,0.90319,1.04493,0.64089,0.90873,0.88558,0.74105,0.69523,0.89425,0.89548,0.00066835,0.00066835,0.00066835
69,3901.33,0.7554,0.91719,1.00686,0.64391,0.90873,0.89996,0.75127,0.70931,0.86867,0.89327,0.0006634,0.0006634,0.0006634
70,3957.63,0.8346,0.93908,1.06123,0.6487,0.90873,0.89612,0.67809,0.99171,0.89585,0.99666,0.00065845,0.00065845,0.00065845
71,4014.04,0.76616,0.91262,1.05479,0.64598,0.90873,0.86951,0.69207,0.88658,0.89619,0.94668,0.0006535,0.0006535,0.0006535
72,4074.09,0.79484,0.94869,1.04038,0.64357,0.90873,0.83258,0.66614,0.82532,0.90319,0.93101,0.00064855,0.00064855,0.00064855
73,4130.52,0.73889,0.91627,1.00886,0.64735,0.90873,0.83674,0.66468,0.80795,0.9075,0.93832,0.0006436,0.0006436,0.0006436
74,4185.78,0.74727,0.92251,1.02314,0.66984,0.88655,0.82049,0.61455,0.98043,0.93558,1.01864,0.00063865,0.00063865,0.00063865
75,4242.31,0.77908,0.87542,1.05569,0.75017,0.84623,0.87485,0.66398,1.00256,0.93131,1.02947,0.0006337,0.0006337,0.0006337
76,4298.8,0.76993,0.86576,1.03263,0.68026,0.90873,0.86123,0.69382,0.78519,0.88906,0.951,0.00062875,0.00062875,0.00062875
77,4355.19,0.74522,0.94712,1.03238,0.68052,0.90873,0.8529,0.72697,0.68944,0.86907,0.89541,0.0006238,0.0006238,0.0006238
78,4412.47,0.79308,0.90424,1.03761,0.67805,0.90873,0.8806,0.74772,0.65091,0.85156,0.87161,0.00061885,0.00061885,0.00061885
79,4468.92,0.7563,0.8803,1.03963,0.6814,0.90873,0.85423,0.66174,0.88859,0.86987,0.94557,0.0006139,0.0006139,0.0006139
80,4524.05,0.76375,0.84253,1.03849,0.67431,0.90873,0.8539,0.63985,0.97383,0.91092,0.97829,0.00060895,0.00060895,0.00060895
81,4579.94,0.80465,0.89367,1.04943,0.76548,0.86402,0.82543,0.59891,1.09331,0.92953,1.02996,0.000604,0.000604,0.000604
82,4643.24,0.72771,0.83153,1.01894,0.67424,0.90873,0.828,0.60674,1.09683,0.90751,1.03154,0.00059905,0.00059905,0.00059905
83,4703.18,0.79093,0.95029,1.04834,0.6831,0.90873,0.8433,0.6712,0.85375,0.86805,0.92727,0.0005941,0.0005941,0.0005941
84,4760.16,0.74009,0.93528,1.03184,0.69681,0.92485,0.84432,0.72288,0.69124,0.83537,0.86671,0.00058915,0.00058915,0.00058915
85,4817.1,0.74255,0.85627,1.02164,0.69762,0.92383,0.86558,0.74958,0.65442,0.84338,0.85229,0.0005842,0.0005842,0.0005842
86,4875.47,0.7608,0.93605,1.02221,0.69763,0.92454,0.86782,0.70928,0.79637,0.83324,0.89993,0.00057925,0.00057925,0.00057925
87,4932.74,0.79038,0.9172,1.07356,0.68595,0.89885,0.86478,0.69958,0.91752,0.84877,0.97452,0.0005743,0.0005743,0.0005743
88,4990.2,0.77752,0.8974,1.0524,0.68105,0.90873,0.87955,0.71725,0.83809,0.84849,0.9406,0.00056935,0.00056935,0.00056935
89,5048.08,0.76102,0.92407,1.03815,0.67185,0.82715,0.87343,0.70345,0.8048,0.87674,0.92496,0.0005644,0.0005644,0.0005644
90,5104.94,0.74907,0.91968,1.00619,0.73251,0.81498,0.87187,0.69091,0.90172,0.92318,0.96547,0.00055945,0.00055945,0.00055945
91,5161.47,0.71941,0.89047,1.00852,0.67669,0.82529,0.88007,0.7179,0.82091,0.87455,0.94101,0.0005545,0.0005545,0.0005545
92,5219.32,0.78894,0.93385,1.06225,0.68631,0.88019,0.86664,0.68925,0.81325,0.85219,0.95693,0.00054955,0.00054955,0.00054955
93,5280.32,0.73685,0.83487,1.02534,0.69256,0.90873,0.86072,0.69675,0.77676,0.84463,0.94006,0.0005446,0.0005446,0.0005446
94,5336.72,0.74062,0.911,1.03224,0.68707,0.90873,0.87493,0.70256,0.80711,0.8608,0.94415,0.00053965,0.00053965,0.00053965
95,5393.62,0.73881,0.88256,1.04521,0.69171,0.90873,0.87649,0.69535,0.89987,0.86411,0.95534,0.0005347,0.0005347,0.0005347
96,5450.86,0.75129,0.84685,1.01254,0.69298,0.89951,0.87489,0.70699,0.85581,0.85522,0.92997,0.00052975,0.00052975,0.00052975
97,5507.96,0.73031,0.88125,1.00189,0.68542,0.90873,0.87807,0.69825,0.89864,0.87962,0.94363,0.0005248,0.0005248,0.0005248
98,5566.69,0.72253,0.90095,1.0093,0.69107,0.90873,0.89865,0.73015,0.81191,0.8758,0.91222,0.00051985,0.00051985,0.00051985
99,5623.88,0.77416,0.87319,1.02287,0.66879,0.90873,0.8965,0.73766,0.79215,0.8521,0.89778,0.0005149,0.0005149,0.0005149
100,5679.85,0.78173,0.8987,1.05075,0.64084,0.90873,0.89757,0.69905,0.94312,0.87488,0.96974,0.00050995,0.00050995,0.00050995
101,5735.81,0.72843,0.76794,1.04026,0.64138,0.90873,0.87151,0.68431,0.89643,0.86705,0.95185,0.000505,0.000505,0.000505
102,5797.78,0.76772,0.82977,1.02228,0.67328,0.93176,0.89943,0.76602,0.71629,0.84567,0.88153,0.00050005,0.00050005,0.00050005
103,5855.93,0.74021,0.845,1.02909,0.66109,0.90873,0.89018,0.69492,0.95056,0.88106,0.97712,0.0004951,0.0004951,0.0004951
104,5912.79,0.74872,0.88943,1.04041,0.66436,0.90873,0.88145,0.66657,1.06288,0.90242,1.03217,0.00049015,0.00049015,0.00049015
105,5970.51,0.71645,0.89396,1.00069,0.67509,0.90873,0.90345,0.70739,0.9763,0.89004,0.99807,0.0004852,0.0004852,0.0004852
106,6029.19,0.71166,0.83801,0.99258,0.69198,0.90873,0.91315,0.72637,0.86561,0.88029,0.94733,0.00048025,0.00048025,0.00048025
107,6086.94,0.71661,0.80176,0.99337,0.79761,0.87748,0.88712,0.71807,0.82761,0.86477,0.92522,0.0004753,0.0004753,0.0004753
108,6150.77,0.69813,0.7979,1.01351,0.78919,0.87748,0.87835,0.69258,0.94011,0.8579,0.96858,0.00047035,0.00047035,0.00047035
109,6207.96,0.73079,0.81759,1.0124,0.80048,0.87748,0.89112,0.69826,0.92642,0.83387,0.96385,0.0004654,0.0004654,0.0004654
110,6267.87,0.70119,0.79435,1.0164,0.79473,0.87748,0.89015,0.70061,0.87469,0.80836,0.95288,0.00046045,0.00046045,0.00046045
111,6326.55,0.73822,0.9031,1.05002,0.77804,0.87748,0.89189,0.69132,0.96828,0.83105,1.00496,0.0004555,0.0004555,0.0004555
112,6384.72,0.74405,0.841,1.02639,0.7821,0.87748,0.89268,0.72088,0.84366,0.81817,0.93519,0.00045055,0.00045055,0.00045055
113,6449.42,0.73564,0.80787,1.01754,0.79258,0.87748,0.89261,0.71961,0.80296,0.81137,0.91223,0.0004456,0.0004456,0.0004456
114,6513.34,0.72484,0.80356,1.01335,0.79331,0.87748,0.8851,0.68795,0.97262,0.83937,0.9782,0.00044065,0.00044065,0.00044065
115,6572.77,0.71698,0.81863,1.00474,0.81057,0.81446,0.88929,0.69212,0.93641,0.8608,0.95859,0.0004357,0.0004357,0.0004357
116,6632.58,0.71286,0.87143,1.01464,0.75975,0.80675,0.8502,0.69233,0.84064,0.90977,0.92411,0.00043075,0.00043075,0.00043075
117,6691.82,0.72931,0.86207,1.02973,0.70812,0.8717,0.79374,0.6245,0.91847,0.93942,0.95726,0.0004258,0.0004258,0.0004258
118,6751.41,0.69929,0.79961,1.00476,0.72823,0.78373,0.83429,0.66968,0.8562,0.89777,0.94259,0.00042085,0.00042085,0.00042085
119,6812.32,0.7404,0.78831,1.04113,0.83891,0.77278,0.85543,0.69336,0.82446,0.82607,0.9334,0.0004159,0.0004159,0.0004159
120,6871.59,0.74763,0.88054,1.02777,0.80725,0.78373,0.8383,0.70278,0.72549,0.78665,0.89149,0.00041095,0.00041095,0.00041095
121,6929.14,0.69453,0.76565,1.0178,0.83985,0.77091,0.84753,0.72315,0.70525,0.76982,0.87613,0.000406,0.000406,0.000406
122,6989.01,0.69249,0.88837,1.00686,0.80498,0.78174,0.86733,0.70803,0.8524,0.84616,0.9213,0.00040105,0.00040105,0.00040105
123,7048.03,0.69097,0.83237,0.98242,0.80624,0.78108,0.86905,0.68913,0.9189,0.84677,0.9547,0.0003961,0.0003961,0.0003961
124,7108.44,0.75001,0.88023,1.03817,0.82702,0.7971,0.88223,0.72106,0.84618,0.79323,0.93079,0.00039115,0.00039115,0.00039115
125,7169.22,0.73121,0.84349,1.03562,0.84514,0.80826,0.85872,0.68568,0.8242,0.79221,0.93087,0.0003862,0.0003862,0.0003862
