epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.178,0.69563,3.31167,0.94612,0.00864,1,0.54878,0.48899,0.45301,3.34055,0.68645,0.0001375,0.0001375,0.0001375
2,47.4646,0.53054,2.22856,0.92389,0.00773,1,0.61509,0.55541,0.39939,3.06384,0.6828,0.000230575,0.000230575,0.000230575
3,71.1308,0.61648,2.05383,0.93371,0.0102,1,0.65148,0.58971,0.44141,2.94162,0.69137,0.00026425,0.00026425,0.00026425
4,95.1927,0.582,1.92919,0.92866,0.00817,1,0.65358,0.56752,0.5661,2.73974,0.73841,0.000238525,0.000238525,0.000238525
5,117.915,0.5404,1.93091,0.89518,0.00749,1,0.66,0.59263,0.48631,2.59877,0.70136,0.0001534,0.0001534,0.0001534
