epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5355,0.67906,2.89122,0.99937,0.00628,1,0.4975,0.45531,0.40966,3.17539,0.69495,0.00025,0.00025,0.00025
2,83.9203,0.62277,2.03034,0.97086,0.00756,1,0.55646,0.50153,0.47525,2.69492,0.69865,0.000507426,0.000507426,0.000507426
3,122.633,0.5781,1.81895,0.91576,0.48629,1,0.67317,0.58563,0.58629,2.40301,0.7373,0.000759655,0.000759655,0.000759655
4,163.565,0.62032,1.7131,0.95056,0.44577,1,0.57935,0.5147,0.56411,1.848,0.73705,0.00100669,0.00100669,0.00100669
5,205.929,0.61084,1.69029,0.95191,0.82348,0.5,0.60662,0.52562,0.65411,2.32434,0.74529,0.0012005,0.0012005,0.0012005
6,245.46,0.60578,1.57437,0.95929,0.50068,1,0.77895,0.65266,0.55443,1.89012,0.72505,0.00118812,0.00118812,0.00118812
7,285.565,0.5892,1.60252,0.93121,0.48919,1,0.80093,0.70288,0.5673,1.37571,0.76439,0.00117575,0.00117575,0.00117575
8,324.781,0.58306,1.45309,0.93089,0.50901,1,0.93302,0.8066,0.56842,1.52501,0.72033,0.00116337,0.00116337,0.00116337
9,363.286,0.5923,1.37224,0.92271,0.82089,0.622,0.995,0.87679,0.53042,1.70055,0.7351,0.001151,0.001151,0.001151
10,402.617,0.61792,1.61368,0.92862,0.72421,0.98666,0.98111,0.85216,0.53108,1.31504,0.77749,0.00113863,0.00113863,0.00113863
11,442.459,0.5807,1.42996,0.91067,0.77308,0.97626,0.97935,0.85954,0.53104,1.26912,0.71807,0.00112625,0.00112625,0.00112625
12,481.757,0.57559,1.3927,0.92463,0.98801,0.98427,0.995,0.82297,0.65424,1.09429,0.78597,0.00111388,0.00111388,0.00111388
13,520.92,0.58878,1.23264,0.91797,0.72417,0.8082,0.98786,0.88008,0.44201,1.58401,0.6977,0.0011015,0.0011015,0.0011015
14,558.887,0.56295,1.19114,0.90026,0.96123,1,0.995,0.87695,0.48319,0.96836,0.69854,0.00108913,0.00108913,0.00108913
15,595.864,0.58906,1.2323,0.92755,0.96859,1,0.995,0.896,0.43225,0.84132,0.68925,0.00107675,0.00107675,0.00107675
16,635.849,0.55117,1.1406,0.89837,0.90294,0.98058,0.995,0.88398,0.49389,0.9004,0.73164,0.00106437,0.00106437,0.00106437
17,675.133,0.54057,1.14802,0.88354,0.94587,0.99346,0.995,0.88122,0.53371,0.83607,0.72734,0.001052,0.001052,0.001052
